LanguageCode	LanguageName	Phoneme	GlyphID	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	raisedLarynxEjective	loweredLarynxImplosive	click
aal	KOTOKO	a??	0061+031F	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	+	-	0	-	-	+	-	-	-	0	-	-	0
aal	KOTOKO	e	65	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
aal	KOTOKO	i	69	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
aal	KOTOKO	o	006F	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
aal	KOTOKO	u	75	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
aal	KOTOKO	?'	251	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	+	0	-	-	+	-	-	-	0	-	-	0
aal	KOTOKO	"?"""	254	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	-	-	-	+	-	-	-	0	-	-	0
aal	KOTOKO	?>	025B	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	-	-	-	+	-	-	-	0	-	-	0
aal	KOTOKO	??	264	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
acv	ACHUMAWI	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
acv	ACHUMAWI	e??	0065+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
acv	ACHUMAWI	i	69	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
acv	ACHUMAWI	o??	006F+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
acv	ACHUMAWI	u	75	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
acv	ACHUMAWI	??	259	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	-	-	-	-	+	-	-	-	0	-	-	0
adz	ADZERA	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
adz	ADZERA	a?	0061+02D0	0	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
adz	ADZERA	i	69	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
adz	ADZERA	i?	0069+02D0	0	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
adz	ADZERA	o??	006F+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
adz	ADZERA	o???	006F+031E+02D0	0	-	+	-	+	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
adz	ADZERA	??	026F	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
aer	ARRERNTE	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
aer	ARRERNTE	i	69	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
aer	ARRERNTE	u	75	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
aey	AMELE	i	69	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
aey	AMELE	u	75	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
aey	AMELE	??	0	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	+	-	0	-	-	+	-	-	-	0	-	-	0
aey	AMELE	"?"""	254	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	-	-	-	+	-	-	-	0	-	-	0
aey	AMELE	?>	025B	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	-	-	-	+	-	-	-	0	-	-	0
agm	ANGAATIHA	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
agm	ANGAATIHA	ai	0061+0069	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	-	0	-	-	0
agm	ANGAATIHA	au	0061+0075	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	-	0	-	-	0
agm	ANGAATIHA	a?	0061+02D0	0	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
agm	ANGAATIHA	e??	0065+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
agm	ANGAATIHA	i	69	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
agm	ANGAATIHA	o??	006F+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
agm	ANGAATIHA	u	75	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
agm	ANGAATIHA	????	0259+0306	0	-	+	+	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	-	-	-	-	+	-	-	-	0	-	-	0
agq	AGHEM	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
agq	AGHEM	e	65	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
agq	AGHEM	i	69	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
agq	AGHEM	o	006F	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
agq	AGHEM	u	75	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
agq	AGHEM	?'	252	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	+	-	+	0	-	-	+	-	-	-	0	-	-	0
agq	AGHEM	"?"""	254	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	-	-	-	+	-	-	-	0	-	-	0
agq	AGHEM	?>	025B	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	-	-	-	+	-	-	-	0	-	-	0
agq	AGHEM	??	026A	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	-	-	-	+	-	-	-	0	-	-	0
agq	AGHEM	??	028A	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	-	-	-	+	-	-	-	0	-	-	0
ahp	AIZI	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
ahp	AIZI	e	65	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
ahp	AIZI	i	69	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
ahp	AIZI	o	006F	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
ahp	AIZI	u	75	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
ahp	AIZI	?>	025B	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	-	-	-	+	-	-	-	0	-	-	0
ahp	AIZI	??	026A	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	-	-	-	+	-	-	-	0	-	-	0
ahp	AIZI	????	026F+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
ahp	AIZI	??	028C	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	-	-	-	+	-	-	-	0	-	-	0
aht	AHTNA	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
aht	AHTNA	e??	0065+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
aht	AHTNA	i	69	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
aht	AHTNA	o??	006F+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
aht	AHTNA	u	75	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
ain	AINU	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
ain	AINU	i	69	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
ain	AINU	u	75	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
ain	AINU	"?"""	254	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	-	-	-	+	-	-	-	0	-	-	0
ain	AINU	?>	025B	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	-	-	-	+	-	-	-	0	-	-	0
aka	AKAN	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
aka	AKAN	a??	0061+0303	0	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
aka	AKAN	e	65	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
aka	AKAN	i	69	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
aka	AKAN	i??	0069+0303	0	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
aka	AKAN	o	006F	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
aka	AKAN	u	75	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
aka	AKAN	u??	0075+0303	0	-	+	-	-	-	+	+	0	+	-	-	+	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
aka	AKAN	"?"""	254	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	-	-	-	+	-	-	-	0	-	-	0
aka	AKAN	?>	025B	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	-	-	-	+	-	-	-	0	-	-	0
aka	AKAN	??	026A	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	-	-	-	+	-	-	-	0	-	-	0
aka	AKAN	????	026A+0303	0	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	+	-	+	-	-	-	-	+	-	-	-	0	-	-	0
aka	AKAN	??	028A	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	-	-	-	+	-	-	-	0	-	-	0
aka	AKAN	????	028A+0303	0	-	+	-	-	-	+	+	0	+	-	-	+	-	+	+	-	-	0	0	0	+	+	-	-	+	-	-	-	+	-	-	-	0	-	-	0
ake	AKAWAIO	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
ake	AKAWAIO	ai	0061+0069	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	-	0	-	-	0
ake	AKAWAIO	au	0061+0075	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	-	0	-	-	0
ake	AKAWAIO	e??	0065+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
ake	AKAWAIO	i	69	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
ake	AKAWAIO	o??	006F+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
ake	AKAWAIO	u	75	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
ake	AKAWAIO	"?""i"	0254+0069	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+,-	+	-	-	0	0	0	+	-,+	-	-,+	+,-	-,+	-	-	+	-	-	-	0	-	-	0
ake	AKAWAIO	??	259	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	-	-	-	-	+	-	-	-	0	-	-	0
ake	AKAWAIO	??	268	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	+	-	-	+	-	-	-	0	-	-	0
akz	ALABAMA	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
akz	ALABAMA	e	65	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
akz	ALABAMA	o	006F	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
alc	QAWASQAR	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
alc	QAWASQAR	o??	006F+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
alc	QAWASQAR	??	259	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	-	-	-	-	+	-	-	-	0	-	-	0
ald	ALLADIAN	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
ald	ALLADIAN	a??	0061+0303	0	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
ald	ALLADIAN	e	65	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
ald	ALLADIAN	i	69	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
ald	ALLADIAN	o	006F	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
ald	ALLADIAN	u	75	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
ald	ALLADIAN	"?"""	254	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	-	-	-	+	-	-	-	0	-	-	0
ald	ALLADIAN	"?""??"	0254+0303	0	-	+	-	-	-	+	+	0	+	-	-	+	-	+	+	-	-	0	0	0	+	-	-	-	+	-	-	-	+	-	-	-	0	-	-	0
ald	ALLADIAN	?>	025B	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	-	-	-	+	-	-	-	0	-	-	0
ald	ALLADIAN	?>??	025B+0303	0	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	-	+	-	-	-	-	+	-	-	-	0	-	-	0
ald	ALLADIAN	??	026A	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	-	-	-	+	-	-	-	0	-	-	0
ale	ALEUT	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
ale	ALEUT	i	69	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
ale	ALEUT	u	75	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
alh	ALAWA	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
alh	ALAWA	e??	0065+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
alh	ALAWA	??	026A	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	-	-	-	+	-	-	-	0	-	-	0
alh	ALAWA	????	026F+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
als	ALBANIAN	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
als	ALBANIAN	e??	0065+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
als	ALBANIAN	i	69	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
als	ALBANIAN	o??	006F+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
als	ALBANIAN	u	75	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
als	ALBANIAN	y	79	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
als	ALBANIAN	??	259	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	-	-	-	-	+	-	-	-	0	-	-	0
amc	AMAHUACA	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
amc	AMAHUACA	a??	0061+0303	0	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
amc	AMAHUACA	o????	006F+0303+031E	0	-	+	-	-	-	+	+	0	+	-	-	+	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
amc	AMAHUACA	o??	006F+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
amc	AMAHUACA	??	026A	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	-	-	-	+	-	-	-	0	-	-	0
amc	AMAHUACA	????	026A+0303	0	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	+	-	+	-	-	-	-	+	-	-	-	0	-	-	0
amc	AMAHUACA	??	026F	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
amc	AMAHUACA	????	026F+0303	0	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
ame	AMUESHA	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
ame	AMUESHA	e	65	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
ame	AMUESHA	o	006F	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
amf	HAMER	e	65	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
amf	HAMER	e????	0065+031E+02E4	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	+	-	+	-	-	-	0	-	-	0
amf	HAMER	i	69	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
amf	HAMER	o	006F	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
amf	HAMER	u	75	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
amf	HAMER	???	0250+02E4	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	+	-	-	0	+	-	+	-	-	-	0	-	-	0
amf	HAMER	?'	251	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	+	0	-	-	+	-	-	-	0	-	-	0
amf	HAMER	"?""??"	0254+02E4	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	-	+	-	+	-	-	-	0	-	-	0
amf	HAMER	????	026A+02E4	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	-	+	-	+	-	-	-	0	-	-	0
amf	HAMER	????	028A+02E4	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	-	+	-	+	-	-	-	0	-	-	0
amh	AMHARIC	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
amh	AMHARIC	e??	0065+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
amh	AMHARIC	i	69	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
amh	AMHARIC	o??	006F+031E	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
amh	AMHARIC	u	75	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
amh	AMHARIC	??	259	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	-	-	-	-	+	-	-	-	0	-	-	0
amh	AMHARIC	??	268	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	+	-	-	+	-	-	-	0	-	-	0
amo	AMO	a	61	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
amo	AMO	e	65	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
